legajo,nombre,clase,antiguedad,dias_disponibles,contraseña,acceso
999999,Administrador Sistema,0,0,0,8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92,True
100001,Juan Perez,3,2,15,cae0ad6d350b0b9005336be3a56c5c1a5d84d3db705b91bdd9f9250ccc9f6f34,True
100002,Maria Gomez,3,3,15,8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92,True
100003,Pedro Ruiz,3,4,15,8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92,True
100004,Ana Lopez,3,1,15,8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92,True
100005,Luis Torres,3,2,15,8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92,True
100006,Sofia Diaz,3,3,15,8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92,True
100007,Carlos Acosta,3,4,15,8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92,True
100008,Lucia Romero,3,2,15,8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92,True
100009,Martin Sosa,3,3,15,8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92,True
100010,Valeria Rios,3,4,0,8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92,True
100011,Diego Fernandez,3,5,30,8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92,True
100012,Paula Garcia,3,6,30,8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92,True
100013,Fernando Vega,3,7,30,8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92,True
100014,Silvina Castro,3,8,30,8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92,True
100015,Javier Molina,3,9,30,8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92,True
100016,Andrea Benitez,3,5,30,8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92,False
100017,Raul Cabrera,3,6,30,8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92,True
